16
0 45 90 135 180 225 270 315 360 405 450 495 540 585 630 675
45 0 45 90 135 180 225 270 315 360 405 450 495 540 585 630
90 45 0 45 90 135 180 225 270 315 360 405 450 495 540 585
135 90 45 0 45 90 135 180 225 270 315 360 405 450 495 540
180 135 90 45 0 45 90 135 180 225 270 315 360 405 450 495
225 180 135 90 45 0 45 90 135 180 225 270 315 360 405 450
270 225 180 135 90 45 0 45 90 135 180 225 270 315 360 405
315 270 225 180 135 90 45 0 45 90 135 180 225 270 315 360
360 315 270 225 180 135 90 45 0 45 90 135 180 225 270 315
405 360 315 270 225 180 135 90 45 0 45 90 135 180 225 270
450 405 360 315 270 225 180 135 90 45 0 45 90 135 180 225
495 450 405 360 315 270 225 180 135 90 45 0 45 90 135 180
540 495 450 405 360 315 270 225 180 135 90 45 0 45 90 135
585 540 495 450 405 360 315 270 225 180 135 90 45 0 45 90
630 585 540 495 450 405 360 315 270 225 180 135 90 45 0 45
675 630 585 540 495 450 405 360 315 270 225 180 135 90 45 0
